nl,code,utils
"Write ""Some console and log file message"" to standard output and ""/dev/fd/3""",echo arg | tee arg,echo tee
return false value,false,false
"show who is logged on rather than stored hostname print only name, line, and and pattern-directed scanning and processing language",who -s --ips | awk,who awk
create directory log into home directory,mkdir arg,mkdir
"Split ""input.txt"" into files of at most 10 bytes each with prefix ""xxx/split-file""",split -b Size arg arg,split
Find all *.pdf.marker files under ${INPUT_LOCATION} and move them to ${OUTPUT_LOCATION} also move any *.pdf files with the same name under current directory to ${OUTPUT_LOCATION},find arg -name arg | xargs,find
cope *.mp3 files to /tmp/MusicFiles,find arg -type f -name arg,find cp
"remove directory entries than <b>-i</b>, while still giving prompt according to when: never, do not treat '/' specially",rm -I --interactive ARG --no-preserve-root arg,rm
"Nano's ANOther editor, an enhanced free Pico clone disable automatic conversion of files use the blank line below set the size (width) of",nano -T -Quantity --noconvert,nano
"do nothing, unsuccessfully and read from standard input and write to standard output and files append to the given files, diagnose errors writing to non and concatenate files and print on the standard output display $ at end of and concatenate and print files in reverse attach the separator before instead and number lines of files first line number for each",false | tee arg --append | cat --show-ends | tac --before | nl --starting-line-number arg,tee cat tac false nl
run jobs in the foreground,fg,fg
"remove directory entries ignore nonexistent files and arguments, than <b>-i</b>, while still giving",rm -I -f arg,rm
 used. output the digest or signature specifies the key format to pass options to the signature create a hashed mac using,md5 -binary -c -hmac arg arg,md5
copy files and directories use full source file name,cp --parents arg,cp
print effective userid,whoami,whoami
invoke a utility immune to hangups,nohup,nohup
"return system name print all information, in the print the kernel name print the machine hardware name print the processor type (non-portable)",uname --all --kernel-name --machine --processor,uname
Set variable VAR to change file owner and group traverse every symbolic link to,chown arg arg,chown
 ascii text mode: convert end-of-lines write output on standard output; display the <u>gzip</u> license and,zcat -L arg,zcat
"dump files in octal and other formats accept arguments in third form same as <b>-t</b> c, select same as <b>-t</b> d2, select same as <b>-t</b> x2, select",od -c -s -x --traditional,od
change file mode bits like verbose but report only output a diagnostic for every do not treat '/' specially use rfile's mode instead of,chmod --changes --no-preserve-root --reference arg --verbose arg arg,chmod
set the environment for command invocation end each output line with,env -0,env
list contents of directories in a tree-like format sort the output by last and pattern-directed scanning and processing language,tree -t | awk,awk tree
cut out selected fields of each line of a file complement the set of selected do not print lines not,cut -s --complement,cut
"authentication key generation, management and conversion specify the key identity when pem format. the new format specify start point (in hex)",ssh-keygen -I arg arg,ssh-keygen
return false value,false,false
set or unset options and positional parameters,set,set
Find the current directory and all its subdirectories.,find arg -type d,find
print the groups a user is in display this help and exit and  if an input file is skip any command-line directory with and OpenSSH SSH client (remote login program) selects the cipher specification for requests that standard input and x11 forwarding should be enabled,groups --help | grep --directories ARG --exclude-dir arg arg | ssh -W arg -c ARG,groups ssh grep
dump files in various formats do not use * to output bytes bytes per output,od -v --width Size,od
change group ownership use rfile's group rather than if a command line argument,chgrp arg --reference arg,chgrp
change group ownership suppress most error messages,chgrp --silent arg arg,chgrp
maintain crontab files for individual users (Vixie Cron),crontab arg,crontab
print lines matching a pattern interpret the pattern as a,grep -F --perl-regexp arg,grep
"columnate lists output is formatted for a specify a set of characters whitespace, by default, or with do not ignore empty lines. and wrap each input line to fit in specified width count bytes rather than columns break at spaces use width columns instead of",column -c -Quantity -s arg | fold -b --spaces --width arg,fold column
print calendar turns off highlighting of today. use <u>yyyy-mm</u> as the current weeks start on sunday.,cal -DateTime -h DateTime,cal
change group ownership suppress most error messages use rfile's group rather than,chgrp --reference arg --silent arg arg,chgrp
Prints a random number between 1 and 10,grep -m arg -a -o arg,sed head grep
" force compression or decompression even for each compressed file, list regulate the speed of compression",zcat arg --force,zcat
"List the commands in /usr/bin, pausing for user input after each page.",more <( ls arg ),more ls
print or set the system date and time like <b>--date</b>; once for each output date/time in rfc 3339,date -f arg --rfc-3339 ARG,date
return working directory name,pwd,pwd
DNS lookup utility the domain name to query. print query times in microseconds,dig -q arg,dig
,popd,popd
report repeated lines in a file prefix lines by the number and stream editor for filtering and transforming text suppress automatic printing of pattern specify the desired line-wrap length and maintain crontab files for individual users (Vixie Cron) and stream editor for filtering and transforming text follow symlinks when processing in edit files in place (makes specify the desired line-wrap length disable all gnu extensions.,uniq -c | sed -l arg --silent Program | crontab arg | sed -l arg --follow-symlinks --in-place arg --posix Program,sed uniq crontab
change the ownership of all regular/normal files in the current directory after users confirmation,find arg -type f -ok chown,find chown
display who is on the system attempt to canonicalize hostnames via only hostname and user associated and stream editor for filtering and transforming text suppress automatic printing of pattern and reverse lines characterwise display version information and exit.,who -m --lookup | sed --quiet Program | rev -V,who rev sed
"display files on a page-by-page basis count logical lines, rather than is displayed. suppress underlining. and  interpret <u>pattern</u> as a basic select only those matches that suppress error messages about nonexistent",more -c -f -u | grep -G --line-regexp --no-messages arg,more grep
Find all files/directories with case insensitive name pattern $TARGET that are located in minimum 10 level down the current directory,find arg -mindepth arg -iname arg,find
change the file ownership if a command line argument do not traverse any symbolic,chown arg arg,chown
maintain crontab files for individual users (Vixie Cron),crontab arg,crontab
Find all regular files named postgis-2.0.0 under current directory,find arg -type f -name arg,find
"displays a calendar and the date of Easter to the julian calendar. display julian days (days one-based, display the previous, current and months to add after. the use oldstyle format for ncal",cal -3 -A -Quantity -DateTime -j DateTime,cal
change group ownership traverse every symbolic link to do not traverse any symbolic,chgrp arg arg,chgrp
Delete all regular files that have not been modified in the last 60 weeks under $DIR directory tree,find arg -type f -mtime +Timespan,find rm
"stream editor and maintain crontab files for individual users (Vixie Cron) and stream editor for filtering and transforming text specify the desired line-wrap length and read from standard input and write to standard output and files append to the given files, ignore interrupt signals diagnose errors writing to non",sed Program | crontab arg | sed --line-length arg Program | tee arg --append --ignore-interrupts,sed tee crontab
Find all directories under '/var/www' directory tree excluding '/var/www/web-release-data' and '/var/www/web-development-data' directories and their sub-directories,find arg -type d \( !,find
print lines matching a pattern interpret <u>pattern</u> as a basic select only those lines containing suppress normal output; instead print,grep -F -G --files-with-matches --word-regexp arg,grep
suspend execution for an interval output version information and exit,sleep --version Timespan,sleep
Search in current directory downwards all files whose size is 10 bytes ( Characters ) .,find arg -size Size -print,find
remove directory entries do not treat '/' specially do not remove '/' (default),rm --no-preserve-root --preserve-root arg,rm
print a sequence of numbers use string to separate numbers equalize width by padding with,seq -w --separator arg arg arg arg,seq
change file timestamps change only the access time affect each symbolic link instead,touch -a -h arg,touch
file perusal filter for crt viewing of compressed text,zless,zless
display a tree of processes the display width. if neither implicitly disables compaction. show parent processes of the,pstree -l -p -s,pstree
"print newline, word, and byte counts for each file print the byte counts read input from the files",wc --bytes --files0-from arg,wc
stream editor for filtering and transforming text add the script to the add the contents of script-file consider files as separate rather,sed -e Program --separate Program,sed
count lines of C or C++ or Obj-C code under the current directory,find arg \( -name arg -or,find xargs wc
"Find all files under current directory matching either of the patterns 'error.[0-9]*', 'access.[0-9]*', 'error_log.[0-9]*', 'access_log.[0-9]*', 'mod_jk.log.[0-9]*' in their names",find arg -type f -name arg,find
"print name of current/working directory use pwd from environment, even",pwd --logical,pwd
move (rename) files explain what is being done,mv --verbose arg,mv
output a string repeatedly until killed,yes,yes
remove directories ignore each failure that is remove directory and its ancestors;,rmdir --ignore-fail-on-non-empty --parents arg,rmdir
Find all directories under /home/mywebsite/public_html/sites/all/modules and set their permission to 750,find arg -type d -exec chmod,find chmod
display status of jobs in the current session and pattern-directed scanning and processing language,jobs | awk,jobs awk
report file system disk space usage,df,df
The non-interactive network downloader,wget,wget
change file timestamps change only the access time do not create any files,touch -a --no-create arg,touch
Search for the string 'device' in all regular files in the entire filesystem,find arg -type f -print |,find xargs grep
Fix permissions for a group of files with given extension,find arg -name arg -type f,find chmod
"locate a command print all matching pathnames of and print newline, word, and byte counts for each file print the byte counts",which -a arg | wc -c,which wc
change group ownership,chgrp arg arg,chgrp
strip directory and suffix from filenames support multiple arguments and treat,basename -a arg,basename
change the file ownership suppress most error messages affect symbolic links instead of traverse every symbolic link to,chown arg -h --quiet arg,chown
move files remove any trailing slashes from explain what is being done,mv -v --strip-trailing-slashes arg,mv
invoke a utility immune to hangups output version information and exit,nohup --version,nohup
"dump files in various formats output format for file offsets; output strings of at least accept arguments in third form same as <b>-t</b> d2, select same as <b>-t</b> x2, select",od -s -x --address-radix ARG --strings Size --traditional,od
change the working directory,cd,cd
recursively change owner and group of the directory  /opt/antoniod/ to user and group antoniod,chown -R arg arg,chown
suspend execution for an interval and delay for a specified amount of time,sleep Timespan | sleep Timespan,sleep
"word, line, and byte or character count read input from the files",wc --files0-from arg,wc
construct argument lists and invoke utility read items from <u>file</u> instead prompt the user about whether display the limits on the and  file descriptor <u>fd</u> is a,xargs -a arg --show-limits | sh arg,xargs sh
"change the working directory and concatenate files and print on the standard output display tab characters as ^i use ^ and m- notation, and output the last part of files same as <b>--follow</b>=<u>name</u> <b>--retry</b> with <b>--follow</b>=<u>name</u>, reopen a file never output headers giving file always output headers giving file and sort lines of text files consider only printable characters sort according to word: general-numeric compress temporaries with prog; decompress use size for main memory",cd | cat -T -v | tail -F -q -v --max-unchanged-stats arg | sort -i --buffer-size Size --compress-program Program --sort ARG,cat tail sort cd
dump files in various formats limit dump to bytes input,od -N arg,od
pattern scanning and processing language,awk,awk
"a fast, versatile, remote (and local) file-copying tool this option decreases the amount this option is a simplified this sets the output buffering duplicate safe symlinks and skip",rsync --exclude arg --outbuf ARG --quiet --safe-links arg,rsync
"return working directory name use pwd from environment, even avoid all symlinks",pwd -L --physical,pwd
stream editor follow symlinks when processing in,sed --follow-symlinks Program,sed
"change the permissions of all the directories to 755 in the folder ""/home/nobody/public_html""",find arg -type d -exec chmod,find chmod
"dump files in various formats limit dump to bytes input output strings of at least same as <b>-t</b> u2, select same as <b>-t</b> o2, select same as <b>-t</b> d2, select",od -S Size -d -o -s --read-bytes Size,od
change the file ownership operate on files and directories if a command line argument,chown arg --recursive arg,chown
print arguments do not output the trailing enable interpretation of backslash escapes disable interpretation of backslash escapes,echo -E -e -n,echo
differential file comparator show which c function each format ltype input lines with,diff -p --LTYPE-line-format ARG arg,diff
Find all symbolic links under '/some/directory' driectory tree,find arg -type l -print,find
"Read a line from an interactive shell's standard input into variable ""message"" without backslash escapes and prompt $'Please Enter a Message:\n'",read -r -e -p arg,read
pattern-directed scanning and processing language and output the last part of files,awk | tail,tail awk
find all the files in the root folder which have been modified in the last 24 hours and print them,find arg -mtime -Timespan -print,find
display files on a page-by-page basis option is switched on automatically suppress underlining.,more -p -u,more
search the manual page names and descriptions print debugging information. search only the given manual specify an alternate set of,apropos arg,apropos
"Count lines of  select only those matches that report unix-style byte offsets. this output a zero byte (the print <u>num</u> lines of leading and opposite of more by default, when data is",grep -B arg --line-regexp --null --unix-byte-offsets arg | less -B | wc -l,less wc grep
"dump files in various formats select output format or formats same as <b>-t</b> x2, select",od -x --format ARG,od
"make a directory set file mode (as in no error if existing, make like <b>-z</b>, or if ctx",mkdir -p --context arg --mode ARG arg,mkdir
"dump files in octal and other formats same as <b>-t</b> c, select same as <b>-t</b> u2, select",od -c -d,od
change the file group ownership output a diagnostic for every affect symbolic links instead of,chgrp --no-dereference --verbose arg arg,chgrp
"run a command immune to hangups, with output to a non-tty output version information and exit",nohup --version,nohup
show who is logged on same as <b>-b</b> <b>-d</b> <b>--login</b> list users logged in,who -a --users,who
change file mode bits suppress most error messages,chmod --quiet arg arg,chmod
join lines of two files on a common field join on this field of treat the first line in,join -1 arg --header arg,join
stream editor suppress automatic printing of pattern specify the desired line-wrap length load minimal amounts of data,sed -l arg -n --unbuffered Program,sed
"Infinitely ping every host listed in ""file-of-ips"" with at most 50 processes at once",cat arg | xargs -n arg,ping xargs cat
change the working directory,cd,cd
"Search directories /opt, /usr, /var for regular file foo",find arg -name arg -type f,find
print arguments do not output the trailing disable interpretation of backslash escapes,echo -E -n,echo
file perusal filter for crt viewing of compressed text,zless,zless
find all files in current folder which are more than 300MB,find arg -size +Size,find
"line numbering filter use style for numbering body use cc for logical page do not reset line numbers and read from standard input and write to standard output and files append to the given files, diagnose errors writing to non and translate or delete characters use the complement of set1 replace each sequence of a",nl --body-numbering ARG --no-renumber --section-delimiter arg | tee -a arg | tr -c -s,tee nl tr
stream editor add the script to the,sed -e Program,sed
"cut out selected fields of each line of a file select only these characters complement the set of selected do not print lines not line delimiter is nul, not from first to m'th (included)",cut arg -s arg --characters arg --complement,cut
"Print whether ""$file"" and ""${file/${dir1}/${dir2}}"" differ",diff -q arg,diff
Get a two column list of all regular .rb files residing in the current directory tree,find arg -name arg -type f,find xargs echo
Search for files/directories named 'fileName.txt' under current directory tree without traversing into './ignored_directory',find arg -path arg -prune -or,find
secure copy (remote file copy program) name of <u>program</u> to use,scp -S Program arg,scp
OpenSSH SSH client (remote login program) do not execute a remote requests tunnel device forwarding with,ssh -N -w arg,ssh
"search for the directory ""config"" in the current folder and change directory to it",cd $( find arg -name arg,find cd
"list contents of directory likewise, except do not append do not list implied entries enclose entry names in double",ls --file-type --hide arg --quote-name,ls
"file perusal filter for crt viewing is displayed. suppress underlining. the screen size to use,",more -c arg -u,more
Find all *.xml files under current directory,find arg -name arg,find
display who is on the system print dead processes print current runlevel,who -d -r,who
"concatenate files and print on the standard output equivalent to <b>-vet</b> number nonempty output lines, overrides display $ at end of number all output lines suppress repeated empty output lines",cat -n -s --number-nonblank --show-all --show-ends,cat
"get md5sum of an iso file without displaying the filename, save value to 'md5' variable",$( md5sum arg | awk arg,md5sum awk
run a program in a modified environment end each output line with change working directory to dir,env Program --null,env
strip file name affixes remove a trailing suffix; implies end each output line with,basename -s arg --zero arg,basename
remove directories remove directory and its ancestors; output a diagnostic for every,rmdir -v --parents arg,rmdir
"Find all .rb and .yml files in the /some/path directory tree and replace ""some_phrase"" with ""replacement_phrase"" in them",find arg -name arg -or -name,find sed xargs grep
"strip directory and suffix from filenames remove a trailing suffix; implies and translate or delete characters delete characters in set1, do replace each sequence of a",basename -s arg | tr -s --delete,basename tr
strip file name affixes remove a trailing suffix; implies,basename --suffix arg,basename
move (rename) files do not prompt before overwriting treat dest as a normal,mv -T -f arg,mv
link files dereference targets that are symbolic print name of each linked,ln --logical --verbose arg arg arg,ln
Find all regular files that reside in the current directory tree and were last modified more than 5 days ago,find arg -type f -mtime +Timespan,find
,mount arg arg,mount
compress data,compress,compress
"file1 and file2 contain lines of comma-separated information, for each line whose first field matches, and where 3rd field of file1 matches 2nd field of file2, 6th field of file1 matches 3rd field of file2, and 7th field of file1 matches 4th field of file2, output: fields 1, 2, 3, 4, 6, and 7 of file1.",join -t arg arg | awk,join awk
,vim arg,vim
"Copy all "".xml"" files in the current directory tree to ""/new/parent/dir"" preserving the directory hierarchy",find arg -name arg -print0 |,find cpio
print arguments enable interpretation of backslash escapes disable interpretation of backslash escapes,echo -E -e,echo
"return false value and do nothing, successfully display this help and exit",false | true --help,true false
deliver the last part of a file,tail,tail
change the working directory,cd,cd
display who is on the system time of last system boot print dead processes print system login processes same as <b>-t</b> same as <b>-t</b>,who -b -l --dead --message --writable,who
Remove trailing white spaces from all *.rb files under current directory,find arg -name arg | xargs,find sed xargs
"list contents of directory do not list implied . with <b>-l</b>, show time as",ls -A --time ARG,ls
"sort lines of text files sort via a key; keydef write result to file instead line delimiter is nul, not",sort -o arg --key arg --zero-terminated,sort
GNU Bourne-Again SHell equivalent to <b>-l</b>. do not read either the,bash --login --noprofile,bash
"Find all files/directories under current directory that match the case insensitive glob pattern {EA,FS}_*",find arg -iname arg,find
remove empty directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir -p -v --ignore-fail-on-non-empty arg,rmdir
display Linux processes show library version and the specifies the delay between screen,top -d -Timespan,top
"translate characters use the complement of set1 delete characters in set1, do replace each sequence of a",tr -d --complement --squeeze-repeats,tr
"report free disk space and remove sections from each line of files line delimiter is nul, not from first to m'th (included)",df | cut arg,cut df
print lines matching a pattern select only those lines containing quiet; do not write anything print <u>num</u> lines of leading skip any command-line file with search only files whose base read all files under each,grep -E -B arg -w --exclude arg --include arg --recursive --silent arg,grep
copy the first part of files print the first num bytes always print headers giving file,head -c -Quantity,head
change the file modes display this help and exit,chmod --help arg arg,chmod
print lines matching a pattern output a zero byte (the,grep -E --null arg,grep
,shopt,shopt
Print the current directory tree with the date of last modification for each file or directory,tree -D,tree
"authentication key generation, management and conversion supported for keys stored in generate candidate primes for dh-gex.",ssh-keygen -G arg,ssh-keygen
display all the files in current folder which have not been modified in the last 7 days,find arg -mtime +Timespan,find
return system name print the machine hardware name,uname -m,uname
"translate characters delete characters in set1, do replace each sequence of a",tr -d -s,tr
copy files to and from archives print <u>string</u> when the end only copy files that do and compute and check MD5 message digest read in text mode (default),cpio --message arg --nonmatching arg | md5sum --text,cpio md5sum
"Print login information of all users except the first two and replace all instances of "" "" with "", """,who | awk arg | sed,sed who awk
list contents of directory sort by word instead of list entries by lines instead and output the first part of files print the first num bytes print the first num lines never print headers giving file,ls -x --sort ARG | head -c -Quantity --quiet,ls head
,pushd,pushd
"Change the owner of ""destination_dir"" to ""user""",chown arg arg,chown
print calendar turns off highlighting of today. display date of easter (for,cal -DateTime -h DateTime,cal
change the file ownership like verbose but report only suppress most error messages do not treat '/' specially use rfile's owner and group operate on files and directories,chown -c -f --no-preserve-root --recursive --reference arg arg arg,chown
set modification date of a file change only the modification time,touch -m arg,touch
"a block-sorting file compressor, v1.0.6",bunzip2,bunzip2
compress and expand data,compress,compress
change the file ownership like verbose but report only output a diagnostic for every affect the referent of each,chown -v --changes --dereference arg arg,chown
GNU Bourne-Again SHell do not read either the,bash --noprofile,bash
"search for files in a directory hierarchy file's status was last changed like <b>-exec</b>, but the specified",find -ctime -Timespan arg,find
copy files hard link files instead of,cp -l arg,cp
"strip file name affixes remove a trailing suffix; implies end each output line with and translate or delete characters replace each sequence of a first truncate set1 to length and sort lines of text files compare human readable numbers (e.g., shuffle, but group identical keys.",basename -z --suffix arg | tr -s --truncate-set1 | sort -R --human-numeric-sort,basename sort tr
change the file modes output a diagnostic for every do not treat '/' specially,chmod --no-preserve-root --verbose arg arg,chmod
"list contents of directory do not sort, enable <b>-au</b>, do not list implied entries like <b>-l</b>, but list numeric like <b>-l</b>, but do not sort alphabetically by entry extension",ls -X -f -n -o --hide arg,ls
change file timestamps do not create any files,touch -c arg,touch
Find all regular files that reside in the current directory tree and were last modified more than 2 days ago,find arg -type f -mtime +Timespan,find
pattern scanning and processing language,awk,awk
change the file group ownership affect symbolic links instead of use rfile's group rather than operate on files and directories,chgrp -h --recursive --reference arg arg arg,chgrp
display who is on the system time of last system boot print dead processes print system login processes all login names and number,who -b -d -l -q,who
print resolved symbolic links or canonical file names report error messages end each output line with,readlink --verbose --zero arg,readlink
Find all files and directories starting from the current directory,find arg,find
displays a calendar and the date of Easter display date of orthodox easter display only the current month. use oldstyle format for ncal,cal -DateTime DateTime,cal
"find files file was last accessed <u>n</u> like <b>-name</b>, but the match",find -amin -Quantity arg,find
print the groups a user is in output version information and exit,groups --version,groups
pattern scanning and processing language,awk,awk
"concatenate files and print on the standard output number nonempty output lines, overrides display tab characters as ^i and file perusal filter for crt viewing count logical lines, rather than option is switched on automatically suppress underlining.",cat -b --show-tabs | more -f -p -u,cat more
"print newline, word, and byte counts for each file read input from the files",wc --files0-from arg,wc
"compress or expand files decompress. when compressing, use suffix .suf",gunzip -S arg,gunzip
display all files in the entire file system,find arg,find
create a temporary file or directory do not create anything; merely,mktemp --dry-run,mktemp
filter for folding lines use width columns instead of,fold -w arg,fold
change the file group ownership suppress most error messages do not treat '/' specially if a command line argument,chgrp arg -f --no-preserve-root arg,chgrp
change file timestamps,touch arg,touch
change the file modes output a diagnostic for every use rfile's mode instead of,chmod --reference arg --verbose arg arg,chmod
"Make directory ""certs""",mkdir arg,mkdir
" and columnate lists fill columns before filling rows. do not ignore empty lines. and reverse lines characterwise display help text and exit. and report or omit repeated lines like <b>-d</b>, but allow separating",mount arg arg | column -e -x | rev --help | uniq --all-repeated ARG,mount uniq rev column
remove sections from each line of files select only these bytes select only these characters select only these fields; also,cut -c arg --bytes arg --fields arg,cut
"displays a calendar and the date of Easter display julian days (days one-based, switch to <b>ncal</b> mode. use <u>yyyy-mm-dd</u> as the current weeks start on sunday. and stream editor for filtering and transforming text add the contents of script-file follow symlinks when processing in edit files in place (makes",cal -DateTime -j DateTime | sed -f arg --in-place arg Program,sed cal
"Save the current user name in variable ""myvariable""",whoami,whoami
change the file group ownership,chgrp arg arg,chgrp
remove directories remove directory and its ancestors; output a diagnostic for every,rmdir -p --verbose arg,rmdir
"a fast, versatile, remote (and local) file-copying tool this option causes rsync to here’s an example that copies specify these two options for this option tells the rsync",rsync -P --filter Program arg --specials arg,rsync
"compress or expand files while compressing, synchronize the output when compressing, use suffix .suf",gzip -S arg,gzip
"Display bash function definition of ""foobar""",set | grep -A arg arg,set grep
"maintain crontab files for individual users (Vixie Cron) and  interpret <u>pattern</u> as a list surround the matched (non-empty) strings, stop reading a file after print only the matched (non-empty) suppress the prefixing of file skip files whose base name",crontab arg | grep -F -m arg -o --colour ARG --exclude-from arg --no-filename arg,grep crontab
maintain crontab files for individual users (Vixie Cron),crontab arg,crontab
"report repeated lines in a file only print duplicate lines, one only print unique lines and  interpret <u>pattern</u> as a basic select only those lines containing surround the matched (non-empty) strings, print <u>num</u> lines of output skip files whose base name search only files whose base and pattern-directed scanning and processing language",uniq -u --repeated | grep -C arg --basic-regexp --color ARG --exclude-from arg --include arg --word-regexp arg | awk,uniq grep awk
output the first part of files print the first num bytes print the first num lines and translate or delete characters use the complement of set1 replace each sequence of a,head -c -Quantity | tr -c -s,tr head
"a fast, versatile, remote (and local) file-copying tool this option is a simplified this option tells rsync that turn all unsafe symlinks into",rsync -y --copy-unsafe-links --include arg arg,rsync
change file timestamps affect each symbolic link instead change only the modification time change the specified time: word,touch -m --no-dereference --time ARG arg,touch
Backup all of the Java files in the current directory tree by copying them and appending the suffix .bk to each,find arg -name arg -exec cp,find cp
return system name print the kernel name print the kernel version print the machine hardware name print the hardware platform (non-portable) and  make sure that the first,uname -i -v --kernel-name --machine | grep --initial-tab arg,grep uname
"make a directory like <b>-z</b>, or if ctx and stream editor for filtering and transforming text suppress automatic printing of pattern consider files as separate rather",mkdir --context arg arg | sed -s --silent Program,sed mkdir
list contents of directory follow each command line symbolic,ls --dereference-command-line-symlink-to-dir,ls
"report or omit repeated lines only print duplicate lines, one print all duplicate lines line delimiter is nul, not",uniq -D -d --zero-terminated,uniq
Find all files/directories named 'javac' under current directory,find arg -name arg,find
change the working directory,cd,cd
Set variable VAR to clear the terminal screen,clear,clear
OpenSSH SSH client (remote login program) selects a file from which queries <b>ssh</b> for the algorithms,ssh -Q -i arg,ssh
maintain crontab files for individual users (Vixie Cron),crontab arg,crontab
"strip file name affixes support multiple arguments and treat remove a trailing suffix; implies end each output line with and translate or delete characters use the complement of set1 delete characters in set1, do replace each sequence of a first truncate set1 to length",basename -a --suffix arg --zero arg | tr --complement --delete --squeeze-repeats --truncate-set1,basename tr
